publish_date,headline_category,headline_text,Label
20080412,city.ahmedabad,Key to Sadiq encounter with journalist,
20080413,entertainment.hindi.bollywood.news,Krazzy 4 a lift?,
20080414,city.pune,Temperature touches 39.1 degree C,
20080419,sports.tennis,Blake into last four on Houston clay,
20080421,india,Mamata convoy attacked in Nandigram,
20080424,entertainment.events.kolkata,Dancing in the rain,
20080424,sports.icc-world-cup-2015,Kings XI wish Tendulkar on his 35th birthday,
20080501,city.patna,Cong dharna against price rise,
20080505,tech,What went wrong with Yahoo!,
20080506,unknown,RS adjourned over Women's Bill,
20080511,sports.icc-world-cup-2015,Rajasthan beat Delhi by 3 wickets,
20080520,india,No trade deal without meeting livelihood concerns: India,
20080604,sports,A to Z of IPL,
20080606,life-style.fashion.shows,Walking in style,
20080611,entertainment.english.hollywood.news,Liv Tyler hopeful about finding love,
20080626,india,Muslim League chief Banatwala dies,
20080703,city.kolkata,Terror scare sparks rush for insurance,
20080703,unknown,How to buy the right cell phone,
20080704,city.chandigarh,Rohtak to get an IIM,
20080706,unknown,Another double retirement for Force India in 'home' race,
20080717,india,TRS looks to Maya to bring about Cong fall,
20080722,unknown,Indian worker found strangled in Jeddah,
20080723,entertainment.events.delhi,Do with an Egyptian touch,
20080725,india,Rahul effect: Kalawati gets buffalo and a house,
20080729,life-style,Seduce your girl with humour,
20080801,india,Payback? Centre upgrades Amar's security to Z-plus,
20080803,unknown,Two news channels blacked out in Jammu; protests continue,
20080805,city.delhi,BSES blames contractor for sewer cleaner's death,
20080813,business.india-business,Tesco enters Indian retail with Tata Trent,
20080813,tech.tech-news,We respect user privacy: Google,
20080818,news,Paddler Neha Aggarwal makes early exit,
20080819,entertainment.english.hollywood.news,Hollywood's casting calamities revealed,
20080823,business.india-business,India Inc taps commercial paper,
20080827,city.bengaluru,NICE contempt case adjourned,
20080831,hot-on-the-web,Hot today: Bizarre,
20080902,city.chennai,Don't liken me to Drona; says Karunanidhi,
20080905,city.kolkata,Land prices skyrocket in Howrah; Hooghly,
20080914,city.ahmedabad,Gandhiji's 'mobile toilet' to be displayed,
20080917,city.hyderabad,42 special trains for Dasara,
20080922,city.delhi,Bombers secrets begin to tumble out,
20080923,entertainment.hindi.bollywood.news,Hari Puttar: The boy who won,
20080925,business.india-business,BCCL picks up stake in Royal Hygiene,
20080929,city.delhi,Atif module included a teenager,
20081010,unknown,Babylon A.D.,
20081010,sports.icc-world-cup-2015,Hussey says he feels at home with Indian conditions,
20081014,unknown,'India to achieve 35% power from N-plants by 2050',
20081014,city.nagpur,CBI: Rs 28 cr scam in WCL,
20081016,india,Early winter? Kashmir Shivers after first snow,
20081024,india,Protesters in Bihar set rly station on fire,
20081024,city.mumbai,HC relief for state in green zone case,
20081024,city.mumbai,Roy challenges CAT order in HC; calls it 'illegal',
20081028,unknown,Heat is on Hamilton; says Massa,
20081030,city.chennai,Puzzle of the loops and ramps,
20081106,india,Somnath Chatterjee admitted to hospital in New Delhi,
